adjective;Frame_realisation;Frame_frequency
tissu;SUJ:NP;1
concret;SUJ:NP;13
homogène;SUJ:NP;1
froid;SUJ:NP;2
bas;SUJ:NP;65
bas;SUJ:NP,P-OBJ:PP[à];1
texan;SUJ:NP;4
décoré;SUJ:NP;1
illicite;SUJ:NP;1
pervers;SUJ:NP;6
pratique;SUJ:NP;6
violent;SUJ:NP;7
multinational;SUJ:NP;2
inutile;SUJ:NP,P-OBJ:VPinf[de];1
inutile;SUJ:NP;6
inutile;SUJ:VPinf[de];3
incessant;SUJ:NP;5
respectif;SUJ:NP;10
frigorifique;SUJ:NP;2
inébranlable;SUJ:NP;1
horizontal;SUJ:NP;1
flamboyant;SUJ:NP;4
partiel;SUJ:NP;20
descendant;SUJ:NP;2
israélo-arabe;SUJ:NP;1
rhénan;SUJ:NP;2
intermédiaire;SUJ:NP;8
inconnu;SUJ:NP;2
inconnu;SUJ:NP,P-OBJ:PP[à];1
franc;SUJ:NP;3
libéral;SUJ:NP;9
pointilleux;SUJ:NP,P-OBJ:PP[jusqu'à];1
spécialisé;SUJ:NP,P-OBJ:PP[par];2
spécialisé;SUJ:NP;17
spécialisé;SUJ:NP,P-OBJ:PP[dans];2
prêteur;SUJ:NP;2
mixte;SUJ:NP;11
détenteur;SUJ:NP,P-OBJ:PP[de];2
multilatéral;SUJ:NP;6
improductif;SUJ:NP;1
fréquentable;SUJ:NP;1
idéologique;SUJ:NP;3
littoral;SUJ:NP;2
brouillon;SUJ:NP;1
américain;SUJ:NP;239
ophtalmologique;SUJ:NP;1
chaud;SUJ:NP;7
feint;SUJ:NP;1
faible;SUJ:NP;69
faible;SUJ:NP,P-OBJ:PP[en];1
corrigé;SUJ:NP;6
bruxellois;SUJ:NP;2
complaisant;SUJ:NP;1
codé;SUJ:NP;2
dense;SUJ:NP;2
funeste;SUJ:NP;2
de base;SUJ:NP;23
incorrect;SUJ:NP;1
mitigé;SUJ:NP;3
idiot;SUJ:NP;1
cubain;SUJ:NP;2
parti;SUJ:NP;1
climatique;SUJ:NP;1
familial;SUJ:NP;29
gouvernemental;SUJ:NP;11
minéral;SUJ:NP;1
inoccupé;SUJ:NP;1
actuel;SUJ:NP;85
catégorique;SUJ:NP;1
étiolé;SUJ:NP;1
coréen;SUJ:NP;4
mosellan;SUJ:NP;2
pire;SUJ:NP;8
pire;SUJ:NP,OBJ:Ssub[que];1
agroalimentaire;SUJ:NP;15
temporel;SUJ:NP;1
maximum;SUJ:NP;7
passible;SUJ:NP,P-OBJ:PP[de];2
déplacé;SUJ:NP;1
uniforme;SUJ:NP;1
aventureux;SUJ:NP;3
censé;SUJ:NP;3
dialectique;SUJ:NP;1
correcteur;SUJ:NP;1
salarial;SUJ:NP;23
illustre;SUJ:NP;1
passif;SUJ:NP;2
lillois;SUJ:NP;1
comptant;SUJ:NP;2
situé;SUJ:NP;1
situé;SUJ:NP,P-OBJ:PP[dans];1
situé;SUJ:NP,P-OBJ:PP[à];1
situé;SUJ:NP,P-OBJ:PP[de];1
houleux;SUJ:NP;1
moderniste;SUJ:NP;1
détenu;SUJ:NP;1
exposé;SUJ:NP;1
rituel;SUJ:NP;1
dévoué;SUJ:NP,P-OBJ:PP[à];1
hostile;SUJ:NP;6
hostile;SUJ:NP,P-OBJ:PP[à];4
supérieur;SUJ:NP,P-OBJ:PP[de],P-OBJ:PP[à];1
supérieur;SUJ:NP,P-OBJ:PP[à];39
