code,name,code_postal,latitude,longitude,score
57623,st quirin,57560,48.5845453315,7.11411356549,0
57633,sarreinsming,57905,49.0924332105,7.11956483456,0
57634,saulny,57140,49.1602800907,6.09502895041,0
57637,schneckenbusch,57400,48.6959536942,7.08168211214,0
57638,schoeneck,57350,49.2131743265,6.92043725941,0
57643,secourt,57420,48.9485643363,6.27165031944,1
57645,semecourt,57280,49.1970900836,6.13770154726,1
57650,sierck les bains,57480,49.4367246307,6.35954877529,0
57661,sturzelbronn,57230,49.053346733,7.59397660337,0
57670,thicourt,57380,48.9917121202,6.56000990403,1
57676,tragny,57580,48.9564904348,6.37332375552,0
57682,turquestein blancrupt,57560,48.5598070165,7.08686988771,0
57683,uckange,57270,49.3058767055,6.14931216735,0
57684,vahl ebersing,57660,49.0526763578,6.74843540034,0
57689,valmestroff,57970,49.3583304457,6.26235164313,0
57692,vannecourt,57340,48.87799465,6.53511277921,1
57693,vantoux,57070,49.1323231811,6.233426984,0
57707,verneville,57130,49.1377096481,6.00708886544,0
57709,vescheim,57370,48.7943463225,7.22591032153,0
57719,villers sur nied,57340,48.9262387667,6.52816467528,0
57721,vilsberg,57370,48.79004649,7.26022732288,0
57734,voyer,57560,48.6522218701,7.08937064886,0
57737,vulmont,57420,48.925709781,6.30508801318,0
57740,waldwisse,57480,49.4143532699,6.52258139522,0
57741,walschbronn,57720,49.154023233,7.47376788664,0
57749,voelfling les bouzonville,57320,49.2929378044,6.60527377943,0
57764,zoufftgen,57330,49.4658864649,6.13504143605,0
57767,stuckange,57970,49.3240150186,6.23226190689,0
58004,alluy,58110,47.0338777551,3.63261778008,0
58005,amazy,58190,47.3830839935,3.56104962023,0
58010,arleuf,58430,47.0404133279,4.01572442394,0
58013,arthel,58700,47.2439939183,3.40639275395,0
58016,asnois,58190,47.3975694255,3.5877353754,0
58024,bazolles,58110,47.1455832324,3.60825350452,0
58025,beard,58160,46.8687338106,3.3263533543,0
58026,beaulieu,58420,47.2523686472,3.52425874416,-1
58027,beaumont la ferriere,58700,47.1832698667,3.23544438526,-1
58034,blismes,58120,47.1229051277,3.82149809413,0
58036,bouhy,58310,47.4871286567,3.18343987019,0
58037,brassy,58140,47.2637724452,3.93404612826,0
58047,cervon,58800,47.2396751916,3.75219456322,0
58048,cessy les bois,58220,47.3318627577,3.21619121558,0
58054,champlin,58700,47.2447063381,3.45044284941,0
58061,chasnay,58350,47.2389608861,3.17151179049,0
58063,chateau chinon campagne,58120,47.056080506,3.9410750203,0
58074,chiddes,58170,46.8621669432,3.92954270868,0
58082,corancy,58120,47.1062561745,3.95987876262,0
58084,corvol d embernard,58210,47.2944695727,3.39889165707,0
58087,cossaye,58300,46.7559659836,3.51003237912,0
58101,dompierre sur nievre,58350,47.2317693223,3.25913821713,0
58103,dornecy,58530,47.4426675206,3.58969747383,0
58111,fachin,58430,47.002421282,3.96692225039,0
58114,flety,58170,46.798653723,3.9063939213,0
58117,fourchambault,58600,47.0168666428,3.09059273072,0
58119,frasnay reugny,58270,46.9922185296,3.52773836273,0
58129,gouloux,58230,47.2305921605,4.0840074367,0
58136,jailly,58330,47.0855636389,3.46962108333,0
58148,luthenay uxeloup,58240,46.8534809432,3.26854590349,0
58151,la machine,58260,46.8916874308,3.46212793801,0
58166,mhere,58140,47.1949524122,3.86024509237,0
58173,montaron,58250,46.8762307221,3.74836898416,0
58175,mont et marre,58110,47.0889728299,3.64523773772,0
58178,montigny sur canne,58340,46.9429617618,3.65775331444,0
58182,moulins engilbert,58290,46.9731661302,3.81182294166,0
58190,neuffontaines,58190,47.3499035349,3.74055126391,-1
